Block;Progeny;Plot;Stand;Pod Yield (t/ha);Pod length (cm);Pod width (cm);Pods per plant;Mass of 100 seeds (g);Seed yield (t/ha)
1;P23;1;4;2.233025;11.325;1.4915;60.25;22.59728873;0.96445
1;P64;2;3;1.5749;10.11444444;1.29;49;20.40708955;0.737166667
1;P14;3;4;1.9376;11.2185;1.403;56;21.985;0.87615
1;P61;4;3;2.457466667;11.5;1.5;59.33333333;24.88521505;0.998333333
1;P15;5;3;0.784433333;10.33;1.43;23;22.115;0.320866667
1;P20;6;4;1.994375;10.955;1.3525;53.25;23.24780612;0.878625
1;P1;7;4;0.901825;10.80583333;1.417619048;19.75;21.71672156;0.31825
1;P5;8;3;0.595666667;10.6;1.47;15.33333333;23;0.2714
1;P46;9;4;0.88775;10.251;1.4;29.75;18.87547619;0.365525
2;P20;10;4;2.118225;11.13333333;1.312928571;61.75;20.11654639;0.93565
2;P46;11;4;1.04795;10.6;1.408333333;36;18.48526116;0.3995
2;P14;12;4;1.198025;11.16875;1.385833333;35.75;17.433125;0.49275
2;P61;13;4;0.832975;10.63083333;1.42475;27.75;21.92777778;0.384725
2;P15;14;4;1.048375;10.41111111;1.368888889;38;19.33550274;0.525375
2;P1;15;4;1.3829;11.07428571;1.4;45.75;21.325;0.640075
2;P5;16;4;1.769925;10.48777778;1.444285714;46.5;21.5767663;0.874625
2;P64;17;4;2.169875;9.993333333;1.385;68;19.37369048;1.02145
2;P23;18;4;2.0466;11.11642857;1.47;57.25;22.835;0.896025
3;P46;19;4;2.353475;11.2035;1.401;67;19.56814103;1.002775
3;P15;20;4;1.824175;10.815;1.416785714;53.5;21.385;0.772575
3;P5;21;4;1.541025;10.859;1.435;45;23.22;0.68415
3;P61;22;4;1.623175;10.86166667;1.44;49;22.305;0.7345
3;P64;23;4;1.3917;10.08;1.2665;43.75;21.85421053;0.6569
3;P23;24;3;2.286266667;10.9;1.4;59.33333333;22.57;1.044766667
3;P1;25;3;3.095366667;11.401;1.45;85;22.07;1.3621
3;P14;26;4;2.1411;11.3025;1.4;72;19.055;0.91675
3;P20;27;4;1.554075;10.44;1.32;43.75;19.82692308;0.67075
4;P5;28;3;1.997266667;11.412;1.49;57.66666667;24.92857143;0.443533333
4;P23;29;4;2.2744;11.6855;1.4625;62;20.69;1.01565
4;P20;30;4;2.2696;11.0625;1.41;66.5;20.425;0.981525
4;P1;31;3;2.148233333;11.3;1.385;61.33333333;21.60054054;0.903
4;P64;32;3;1.154266667;10.09375;1.354166667;33.66666667;20.45454545;0.344666667
4;P14;33;4;2.083675;10.75;1.31;58.5;20.07;1.05905
4;P15;34;4;2.36725;11.26;1.4;75.5;20.895;1.030425
4;P61;35;4;1.86295;10.64375;1.358333333;57.25;21.46180556;0.86
4;P46;36;2;1.6719;11.04;1.3725;46.5;19.045;0.7059
